stock1,stock2,sector,industry,category1,category2,location1,location2,currency1,currency2,isLassoApproved,rank_score,lsr_percentile_2024,lsr_percentile_2023,lsr_percentile_2022,ed_percentile_2024,ed_percentile_2023,ed_percentile_2022
PAA,PAGP,Energy,Oil & Gas Midstream,PLAINS ALL AMERICAN PIPELINE LP,PLAINS GP HOLDINGS LP,Texas; U.S.A,Texas; U.S.A,USD,USD,FALSE,99.8,100,99,100,100,100,100
BEP,BEPC,Utilities,Utilities - Renewable,BROOKFIELD RENEWABLE PARTNERS LP,BROOKFIELD RENEWABLE CORP,Bermuda,New York; U.S.A,USD,USD,TRUE,98.5,97,100,95,99,99,100
MCO,SPGI,Financial Services,Financial Data & Stock Exchanges,MOODYS CORP,S&P GLOBAL INC,New York; U.S.A,New York; U.S.A,USD,USD,TRUE,98.5,97,98,98,100,99,99
ASB,HBAN,Financial Services,Banks - Regional,ASSOCIATED BANC-CORP,HUNTINGTON BANCSHARES INC,Wisconsin; U.S.A,Ohio; U.S.A,USD,USD,FALSE,98.5,99,99,98,99,97,99
KNX,WERN,Industrials,Trucking,KNIGHT-SWIFT TRANSPORTATION HOLDINGS INC,WERNER ENTERPRISES INC,Arizona; U.S.A,Nebraska; U.S.A,USD,USD,TRUE,98.4,96,99,99,99,99,99
FTS,LNT,Utilities,Utilities - Regulated Electric,FORTIS INC,ALLIANT ENERGY CORP,Newfoundland; Canada,Wisconsin; U.S.A,USD,USD,FALSE,98.4,100,97,94,99,99,100
LADR,RITM,Real Estate,REIT - Mortgage,LADDER CAPITAL CORP,RITHM CAPITAL CORP,New York; U.S.A,New York; U.S.A,USD,USD,FALSE,98.3,99,98,92,100,99,99
HBAN,WTFC,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,WINTRUST FINANCIAL CORP,Ohio; U.S.A,Illinois; U.S.A,USD,USD,FALSE,97.9,100,94,98,99,98,99
AM,WES,Energy,Oil & Gas Midstream,ANTERO MIDSTREAM CORP,WESTERN MIDSTREAM PARTNERS LP,Colorado; U.S.A,Texas; U.S.A,USD,USD,FALSE,97.8,96,100,95,99,98,97
ARCC,TSLX,Financial Services,Asset Management,ARES CAPITAL CORP,SIXTH STREET SPECIALTY LENDING INC,New York; U.S.A,Texas; U.S.A,USD,USD,TRUE,97.6,91,99,99,100,99,99
ABCB,CADE,Financial Services,Banks - Regional,AMERIS BANCORP,CADENCE BANK,Georgia; U.S.A,Mississippi; U.S.A,USD,USD,FALSE,97.4,94,97,99,99,98,99
CADE,HOPE,Financial Services,Banks - Regional,CADENCE BANK,HOPE BANCORP INC,Mississippi; U.S.A,California; U.S.A,USD,USD,FALSE,97.3,98,100,85,99,98,98
CMS,FTS,Utilities,Utilities - Regulated Electric,CMS ENERGY CORP,FORTIS INC,Michigan; U.S.A,Newfoundland; Canada,USD,USD,FALSE,97.3,100,91,95,99,99,100
CADE,HBAN,Financial Services,Banks - Regional,CADENCE BANK,HUNTINGTON BANCSHARES INC,Mississippi; U.S.A,Ohio; U.S.A,USD,USD,FALSE,97.2,97,94,99,99,97,99
FFBC,ONB,Financial Services,Banks - Regional,FIRST FINANCIAL BANCORP,OLD NATIONAL BANCORP,Ohio; U.S.A,Indiana; U.S.A,USD,USD,FALSE,97.2,95,92,100,100,99,100
FTS,OGE,Utilities,Utilities - Regulated Electric,FORTIS INC,OGE ENERGY CORP,Newfoundland; Canada,Oklahoma; U.S.A,USD,USD,FALSE,97.1,99,97,83,99,99,100
BSM,CTRA,Energy,Oil & Gas E&P,BLACK STONE MINERALS LP,COTERRA ENERGY INC,Texas; U.S.A,Texas; U.S.A,USD,USD,FALSE,96.6,99,99,96,96,98,86
CADE,USB,Financial Services,Banks - Regional,CADENCE BANK,US BANCORP,Mississippi; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,96.6,100,100,76,99,98,96
HBAN,SNV,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,SYNOVUS FINANCIAL CORP,Ohio; U.S.A,Georgia; U.S.A,USD,USD,FALSE,96.6,100,90,96,98,98,98
DTM,WMB,Energy,Oil & Gas Midstream,DT MIDSTREAM INC,WILLIAMS COMPANIES INC,Michigan; U.S.A,Oklahoma; U.S.A,USD,USD,FALSE,96.5,92,98,90,99,99,99
DRH,HST,Real Estate,REIT - Hotel & Motel,DIAMONDROCK HOSPITALITY CO,HOST HOTELS & RESORTS INC,Maryland; U.S.A,Maryland; U.S.A,USD,USD,FALSE,96.5,99,87,98,100,98,99
CMI,ITW,Industrials,Specialty Industrial Machinery,CUMMINS INC,ILLINOIS TOOL WORKS INC,Indiana; U.S.A,Illinois; U.S.A,USD,USD,FALSE,96.5,95,94,96,98,98,99
HBAN,WBS,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,WEBSTER FINANCIAL CORP,Ohio; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,96.2,89,97,97,99,98,99
QGEN,TMO,Healthcare,Diagnostics & Research,QIAGEN NV,THERMO FISHER SCIENTIFIC INC,Netherlands,Massachusetts; U.S.A,USD,USD,FALSE,96.2,95,90,99,99,99,97
FTS,WEC,Utilities,Utilities - Regulated Electric,FORTIS INC,WEC ENERGY GROUP INC,Newfoundland; Canada,Wisconsin; U.S.A,USD,USD,FALSE,95.9,99,86,91,100,99,100
ET,MPLX,Energy,Oil & Gas Midstream,ENERGY TRANSFER LP,MPLX LP,Texas; U.S.A,Ohio; U.S.A,USD,USD,FALSE,95.8,94,88,99,99,99,99
HOPE,USB,Financial Services,Banks - Regional,HOPE BANCORP INC,US BANCORP,California; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,95.8,98,91,94,98,96,98
CADE,WBS,Financial Services,Banks - Regional,CADENCE BANK,WEBSTER FINANCIAL CORP,Mississippi; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,95.4,93,89,98,99,98,98
DHR,TMO,Healthcare,Diagnostics & Research,DANAHER CORP,THERMO FISHER SCIENTIFIC INC,District Of Columbia; U.S.A,Massachusetts; U.S.A,USD,USD,TRUE,95.4,86,96,94,99,99,100
PB,PNC,Financial Services,Banks - Regional,PROSPERITY BANCSHARES INC,PNC FINANCIAL SERVICES GROUP INC,Texas; U.S.A,Pennsylvania; U.S.A,USD,USD,FALSE,95.4,99,93,75,100,98,99
OZK,WBS,Financial Services,Banks - Regional,BANK OF THE OZARKS INC,WEBSTER FINANCIAL CORP,Arkansas; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,95.4,92,96,100,95,95,98
FFBC,HOMB,Financial Services,Banks - Regional,FIRST FINANCIAL BANCORP,HOME BANCSHARES INC,Ohio; U.S.A,Arkansas; U.S.A,USD,USD,FALSE,95.3,100,95,68,100,98,99
SBCF,USB,Financial Services,Banks - Regional,SEACOAST BANKING CORP OF FLORIDA,US BANCORP,Florida; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,95.3,97,91,89,99,96,98
DFS,OMF,Financial Services,Credit Services,DISCOVER FINANCIAL SERVICES,ONEMAIN HOLDINGS INC,Illinois; U.S.A,Indiana; U.S.A,USD,USD,FALSE,95.3,97,93,97,96,93,98
CPB,FLO,Consumer Defensive,Packaged Foods,CAMPBELL'S CO,FLOWERS FOODS INC,New Jersey; U.S.A,Georgia; U.S.A,USD,USD,TRUE,95.3,100,92,81,99,96,98
KEY,USB,Financial Services,Banks - Regional,KEYCORP,US BANCORP,Ohio; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,95.1,100,85,94,99,95,99
CMI,DOV,Industrials,Specialty Industrial Machinery,CUMMINS INC,DOVER CORP,Indiana; U.S.A,Illinois; U.S.A,USD,USD,FALSE,95.1,97,90,89,99,96,98
KEY,WBS,Financial Services,Banks - Regional,KEYCORP,WEBSTER FINANCIAL CORP,Ohio; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,95,98,89,92,97,96,98
COLB,VBTX,Financial Services,Banks - Regional,COLUMBIA BANKING SYSTEM INC,VERITEX HOLDINGS INC,Washington; U.S.A,Texas; U.S.A,USD,USD,FALSE,94.9,86,96,95,97,99,98
ARCC,NMFC,Financial Services,Asset Management,ARES CAPITAL CORP,NEW MOUNTAIN FINANCE CORP,New York; U.S.A,New York; U.S.A,USD,USD,TRUE,94.8,78,100,97,99,99,99
DUK,EIX,Utilities,Utilities - Regulated Electric,DUKE ENERGY CORP,EDISON INTERNATIONAL,North Carolina; U.S.A,California; U.S.A,USD,USD,TRUE,94.7,97,89,80,99,99,99
AEE,FTS,Utilities,Utilities - Regulated Electric,AMEREN CORP,FORTIS INC,Missouri; U.S.A,Newfoundland; Canada,USD,USD,FALSE,94.6,80,97,98,99,98,100
CADE,FHB,Financial Services,Banks - Regional,CADENCE BANK,FIRST HAWAIIAN INC,Mississippi; U.S.A,Hawaii; U.S.A,USD,USD,FALSE,94.6,97,90,80,99,98,98
EBC,SBCF,Financial Services,Banks - Regional,EASTERN BANKSHARES INC,SEACOAST BANKING CORP OF FLORIDA,Massachusetts; U.S.A,Florida; U.S.A,USD,USD,FALSE,94.6,90,92,90,99,98,98
LNT,OGE,Utilities,Utilities - Regulated Electric,ALLIANT ENERGY CORP,OGE ENERGY CORP,Wisconsin; U.S.A,Oklahoma; U.S.A,USD,USD,TRUE,94.6,84,90,98,100,100,100
BLK,JHG,Financial Services,Asset Management,BLACKROCK INC,JANUS HENDERSON GROUP PLC,New York; U.S.A,United Kingdom,USD,USD,FALSE,94.5,89,100,96,99,90,93
NWBI,UBSI,Financial Services,Banks - Regional,NORTHWEST BANCSHARES INC,UNITED BANKSHARES INC,Pennsylvania; U.S.A,West Virginia; U.S.A,USD,USD,FALSE,94.5,96,89,80,100,98,99
PNC,SBCF,Financial Services,Banks - Regional,PNC FINANCIAL SERVICES GROUP INC,SEACOAST BANKING CORP OF FLORIDA,Pennsylvania; U.S.A,Florida; U.S.A,USD,USD,FALSE,94.4,98,89,84,99,95,98
HLI,SF,Financial Services,Capital Markets,HOULIHAN LOKEY INC,STIFEL FINANCIAL CORP,California; U.S.A,Missouri; U.S.A,USD,USD,FALSE,94.4,97,95,72,99,97,96
HBAN,OZK,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,BANK OF THE OZARKS INC,Ohio; U.S.A,Arkansas; U.S.A,USD,USD,FALSE,94.4,81,97,100,99,96,98
HWC,USB,Financial Services,Banks - Regional,HANCOCK WHITNEY CORP,US BANCORP,Mississippi; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,94.4,93,90,89,99,97,97
ASB,CADE,Financial Services,Banks - Regional,ASSOCIATED BANC-CORP,CADENCE BANK,Wisconsin; U.S.A,Mississippi; U.S.A,USD,USD,FALSE,94.4,100,82,89,99,97,99
COF,OMF,Financial Services,Credit Services,CAPITAL ONE FINANCIAL CORP,ONEMAIN HOLDINGS INC,Virginia; U.S.A,Indiana; U.S.A,USD,USD,TRUE,94.4,100,80,99,99,94,99
HBAN,USB,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,US BANCORP,Ohio; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,94.4,96,89,82,99,98,98
CADE,ONB,Financial Services,Banks - Regional,CADENCE BANK,OLD NATIONAL BANCORP,Mississippi; U.S.A,Indiana; U.S.A,USD,USD,FALSE,94.4,96,91,78,99,98,98
CMA,USB,Financial Services,Banks - Regional,COMERICA INC,US BANCORP,Texas; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,94.3,93,97,89,96,92,98
CADE,RF,Financial Services,Banks - Regional,CADENCE BANK,REGIONS FINANCIAL CORP,Mississippi; U.S.A,Alabama; U.S.A,USD,USD,FALSE,94.2,99,84,88,99,96,98
AGCO,DE,Industrials,Farm & Heavy Construction Machinery,AGCO CORP,DEERE & CO,Georgia; U.S.A,Illinois; U.S.A,USD,USD,TRUE,94.1,87,95,89,97,99,96
HWC,OZK,Financial Services,Banks - Regional,HANCOCK WHITNEY CORP,BANK OF THE OZARKS INC,Mississippi; U.S.A,Arkansas; U.S.A,USD,USD,FALSE,94.1,93,89,86,99,97,99
USB,WTFC,Financial Services,Banks - Regional,US BANCORP,WINTRUST FINANCIAL CORP,Minnesota; U.S.A,Illinois; U.S.A,USD,USD,FALSE,94.1,93,96,76,97,98,97
CUBE,FR,Real Estate,REIT - Industrial,CUBESMART,FIRST INDUSTRIAL REALTY TRUST INC,Pennsylvania; U.S.A,Illinois; U.S.A,USD,USD,FALSE,94,86,99,81,97,98,99
CUBE,REXR,Real Estate,REIT - Industrial,CUBESMART,REXFORD INDUSTRIAL REALTY INC,Pennsylvania; U.S.A,California; U.S.A,USD,USD,FALSE,94,98,96,62,98,98,98
ICE,SPGI,Financial Services,Financial Data & Stock Exchanges,INTERCONTINENTAL EXCHANGE INC,S&P GLOBAL INC,Georgia; U.S.A,New York; U.S.A,USD,USD,FALSE,94,95,87,90,98,96,98
PPBI,WBS,Financial Services,Banks - Regional,PACIFIC PREMIER BANCORP INC,WEBSTER FINANCIAL CORP,California; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,93.9,93,93,84,96,96,99
PPBI,VLY,Financial Services,Banks - Regional,PACIFIC PREMIER BANCORP INC,VALLEY NATIONAL BANCORP,California; U.S.A,New York; U.S.A,USD,USD,FALSE,93.9,95,92,76,98,97,99
GBDC,TSLX,Financial Services,Asset Management,GOLUB CAPITAL BDC INC,SIXTH STREET SPECIALTY LENDING INC,New York; U.S.A,Texas; U.S.A,USD,USD,FALSE,93.9,84,91,91,100,99,100
RF,USB,Financial Services,Banks - Regional,REGIONS FINANCIAL CORP,US BANCORP,Alabama; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,93.9,97,80,92,100,97,99
GSK,SNY,Healthcare,Drug Manufacturers - General,GSK PLC,SANOFI,United Kingdom,France,USD,USD,TRUE,93.9,84,90,98,99,98,99
FHB,USB,Financial Services,Banks - Regional,FIRST HAWAIIAN INC,US BANCORP,Hawaii; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,93.8,83,98,83,99,98,99
SBCF,TFC,Financial Services,Banks - Regional,SEACOAST BANKING CORP OF FLORIDA,TRUIST FINANCIAL CORP,Florida; U.S.A,North Carolina; U.S.A,USD,USD,FALSE,93.8,89,98,93,98,88,99
EIX,FTS,Utilities,Utilities - Regulated Electric,EDISON INTERNATIONAL,FORTIS INC,California; U.S.A,Newfoundland; Canada,USD,USD,FALSE,93.7,99,92,62,99,98,99
HOPE,SBCF,Financial Services,Banks - Regional,HOPE BANCORP INC,SEACOAST BANKING CORP OF FLORIDA,California; U.S.A,Florida; U.S.A,USD,USD,FALSE,93.7,99,75,96,99,98,99
BCS,C,Financial Services,Banks - Diversified,BARCLAYS PLC,CITIGROUP INC,United Kingdom,New York; U.S.A,USD,USD,FALSE,93.7,96,91,95,89,96,98
CADE,FFBC,Financial Services,Banks - Regional,CADENCE BANK,FIRST FINANCIAL BANCORP,Mississippi; U.S.A,Ohio; U.S.A,USD,USD,FALSE,93.7,95,92,72,99,97,99
HBAN,SFNC,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,SIMMONS FIRST NATIONAL CORP,Ohio; U.S.A,Arkansas; U.S.A,USD,USD,FALSE,93.7,94,92,90,96,92,99
LADR,STWD,Real Estate,REIT - Mortgage,LADDER CAPITAL CORP,STARWOOD PROPERTY TRUST INC,New York; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,93.7,95,80,92,100,98,99
CUBE,PLD,Real Estate,REIT - Industrial,CUBESMART,PROLOGIS INC,Pennsylvania; U.S.A,California; U.S.A,USD,USD,FALSE,93.7,82,99,88,97,99,95
SNV,USB,Financial Services,Banks - Regional,SYNOVUS FINANCIAL CORP,US BANCORP,Georgia; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,93.7,91,89,92,96,98,97
ECL,PPG,Basic Materials,Specialty Chemicals,ECOLAB INC,PPG INDUSTRIES INC,Minnesota; U.S.A,Pennsylvania; U.S.A,USD,USD,FALSE,93.6,92,94,72,98,99,98
HOMB,PNC,Financial Services,Banks - Regional,HOME BANCSHARES INC,PNC FINANCIAL SERVICES GROUP INC,Arkansas; U.S.A,Pennsylvania; U.S.A,USD,USD,FALSE,93.6,100,76,91,100,97,99
EXC,FE,Utilities,Utilities - Regulated Electric,EXELON CORP,FIRSTENERGY CORP,Illinois; U.S.A,Ohio; U.S.A,USD,USD,TRUE,93.6,89,87,87,100,99,99
BXSL,TSLX,Financial Services,Asset Management,BLACKSTONE SECURED LENDING FUND,SIXTH STREET SPECIALTY LENDING INC,New York; U.S.A,Texas; U.S.A,USD,USD,FALSE,93.5,79,91,99,100,99,98
CHKP,DOX,Technology,Software - Infrastructure,CHECK POINT SOFTWARE TECHNOLOGIES LTD,AMDOCS LTD,Israel,United Kingdom,USD,USD,FALSE,93.5,95,94,71,97,98,96
AMP,APO,Financial Services,Asset Management,AMERIPRISE FINANCIAL INC,APOLLO GLOBAL MANAGEMENT INC,Minnesota; U.S.A,New York; U.S.A,USD,USD,FALSE,93.5,93,94,85,94,98,92
PMT,STWD,Real Estate,REIT - Mortgage,PENNYMAC MORTGAGE INVESTMENT TRUST,STARWOOD PROPERTY TRUST INC,California; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,93.4,100,100,43,100,97,97
FFBC,PNC,Financial Services,Banks - Regional,FIRST FINANCIAL BANCORP,PNC FINANCIAL SERVICES GROUP INC,Ohio; U.S.A,Pennsylvania; U.S.A,USD,USD,FALSE,93.4,96,92,72,99,95,98
CADE,FULT,Financial Services,Banks - Regional,CADENCE BANK,FULTON FINANCIAL CORP,Mississippi; U.S.A,Pennsylvania; U.S.A,USD,USD,FALSE,93.4,99,75,97,99,96,99
NVS,SNY,Healthcare,Drug Manufacturers - General,NOVARTIS AG,SANOFI,Switzerland,France,USD,USD,TRUE,93.4,100,86,72,98,98,98
CFG,KEY,Financial Services,Banks - Regional,CITIZENS FINANCIAL GROUP INC,KEYCORP,Rhode Island; U.S.A,Ohio; U.S.A,USD,USD,FALSE,93.4,92,81,98,99,96,100
FNB,HBAN,Financial Services,Banks - Regional,FNB CORP,HUNTINGTON BANCSHARES INC,Pennsylvania; U.S.A,Ohio; U.S.A,USD,USD,FALSE,93.3,99,73,98,99,97,99
AMT,SBAC,Real Estate,REIT - Specialty,AMERICAN TOWER CORP,SBA COMMUNICATIONS CORP,Massachusetts; U.S.A,Florida; U.S.A,USD,USD,FALSE,93.3,73,100,92,99,99,99
MTB,TCBI,Financial Services,Banks - Regional,M&T BANK CORP,TEXAS CAPITAL BANCSHARES INC,New York; U.S.A,Texas; U.S.A,USD,USD,FALSE,93.3,100,85,87,99,91,96
DHR,QGEN,Healthcare,Diagnostics & Research,DANAHER CORP,QIAGEN NV,District Of Columbia; U.S.A,Netherlands,USD,USD,TRUE,93.3,81,94,95,98,98,96
HAL,SLB,Energy,Oil & Gas Equipment & Services,HALLIBURTON CO,SCHLUMBERGER LIMITED,Texas; U.S.A,Texas; U.S.A,USD,USD,TRUE,93.2,87,98,68,99,99,98
HBAN,PNC,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,PNC FINANCIAL SERVICES GROUP INC,Ohio; U.S.A,Pennsylvania; U.S.A,USD,USD,FALSE,93.2,87,89,89,99,97,99
ETN,IR,Industrials,Specialty Industrial Machinery,EATON CORP PLC,INGERSOLL RAND INC,Ireland,North Carolina; U.S.A,USD,USD,TRUE,93.2,87,96,77,96,99,99
CMI,ITT,Industrials,Specialty Industrial Machinery,CUMMINS INC,ITT INC,Indiana; U.S.A,New York; U.S.A,USD,USD,FALSE,93.1,90,99,75,98,94,94
RF,TCBI,Financial Services,Banks - Regional,REGIONS FINANCIAL CORP,TEXAS CAPITAL BANCSHARES INC,Alabama; U.S.A,Texas; U.S.A,USD,USD,FALSE,93.1,91,90,85,98,95,98
THO,WGO,Consumer Cyclical,Recreational Vehicles,THOR INDUSTRIES INC,WINNEBAGO INDUSTRIES INC,Indiana; U.S.A,Iowa; U.S.A,USD,USD,TRUE,93,95,79,96,98,96,98
EPD,ET,Energy,Oil & Gas Midstream,ENTERPRISE PRODUCTS PARTNERS LP,ENERGY TRANSFER LP,Texas; U.S.A,Texas; U.S.A,USD,USD,TRUE,93,76,99,85,99,99,99
